Programme;Nom;Muscle;Seances;Total;Dans toutes les seances
intermediate/full_gym/endurance:full_body:primary+hypertrophy:full_body:secondary/3j;Endurance & Hypertrophie (3j);Abdominaux;3;3;OUI
intermediate/full_gym/endurance:full_body:primary+hypertrophy:full_body:secondary/4j;Endurance & Hypertrophie (4j);Abdominaux;4;4;OUI
intermediate/full_gym/endurance:full_body:primary+hypertrophy:full_body:secondary/5j;Endurance & Hypertrophie (5j);Abdominaux;5;5;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Quadriceps;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Pectoraux;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Dos;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Ischio-jambiers;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Épaules;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Fessiers;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Biceps;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Triceps;3;3;OUI
